UniversityID,SubsystemDescription,MonthNum,ml_risk,hist_asset_rate,hist_shock_rate,coverage
10,Other Conveying Systems,3,0.07693164,0.07692307692307693,0.0,13
10,Other Conveying Systems,4,1.32377745e-05,0.0,0.0,12
10,Other Conveying Systems,5,1.32973255e-05,0.0,0.0,11
10,Other Conveying Systems,6,1.3876648e-05,0.0,0.0,10
10,Other Conveying Systems,7,1.3905968e-05,0.0,0.0,10
10,Other Conveying Systems,8,1.3528307e-05,0.0,0.0,11
10,Other Conveying Systems,9,1.3254291e-05,0.0,0.0,11
10,Other Conveying Systems,10,1.1222459e-05,0.0,0.0,12
10,Other Conveying Systems,11,1.1078572e-05,0.0,0.0,13
10,Other Conveying Systems,12,1.1824521e-05,0.0,0.0,13
10,Other Electrical Systems,1,1.2193896e-05,0.0,0.0035587188612099642,281
10,Other Electrical Systems,2,0.011163976,0.011152416356877323,0.0,269
10,Other Electrical Systems,3,0.0035965724,0.0035842293906810036,0.017921146953405017,279
10,Other Electrical Systems,4,0.003622324,0.007220216606498195,0.0036101083032490976,277
10,Other Electrical Systems,5,1.23647715e-05,0.0,0.017921146953405017,279
10,Other Electrical Systems,6,1.1949099e-05,0.0,0.003663003663003663,273
10,Other Electrical Systems,7,0.0036478718,0.0036363636363636364,0.0,275
10,Other Electrical Systems,8,1.1721752e-05,0.0,0.0,278
10,Other Electrical Systems,9,1.1348436e-05,0.0,0.0,285
10,Other Electrical Systems,10,1.1067406e-05,0.0,0.0034129692832764505,293
10,Other Electrical Systems,11,0.006955099,0.006944444444444444,0.0,288
10,Other Electrical Systems,12,0.007179761,0.007168458781362007,0.0,279
10,Other Equipment,1,0.009767859,0.00975609756097561,0.014634146341463415,205
10,Other Equipment,2,0.0049141096,0.004901960784313725,0.004901960784313725,204
10,Other Equipment,3,1.2653566e-05,0.0,0.004901960784313725,204
10,Other Equipment,4,1.2594593e-05,0.0,0.009708737864077669,206
10,Other Equipment,5,1.2602676e-05,0.0,0.010050251256281407,199
10,Other Equipment,6,0.0047968044,0.004784688995215311,0.009569377990430622,209
10,Other Equipment,7,1.1714942e-05,0.0,0.01015228426395939,197
10,Other Equipment,8,0.005036644,0.005025125628140704,0.005025125628140704,199
10,Other Equipment,9,0.0047064833,0.004694835680751174,0.0,213
10,Other Equipment,10,0.0048421547,0.004830917874396135,0.004830917874396135,207
10,Other Equipment,11,1.1595603e-05,0.0,0.01,200
10,Other Equipment,12,0.0050369105,0.005025125628140704,0.010050251256281407,199
10,Other Fire Protection Systems,1,1.1287877e-05,0.0,0.0,9
10,Other Fire Protection Systems,2,1.144586e-05,0.0,0.0,9
10,Other Fire Protection Systems,3,1.14000595e-05,0.0,0.0,9
10,Other Fire Protection Systems,4,1.1441585e-05,0.0,0.0,12
